datetime,y,week,soldout,name,kcal,remarks,event,payday,weather,precipitation,temperature
2014-3-4,100,火,1,回鍋肉,413.0,,,,晴れ,--,8.3
2014-3-5,110,水,1,メンチカツ,393.0,,,,雨,1.5,6.1
2014-3-6,77,木,0,チキンクリームシチュー,409.0,,,,快晴,--,6.7
2014-3-7,73,金,1,ボローニャ風カツ,396.0,,,,快晴,--,7.0
2014-3-10,123,月,0,海老クリーミ―クノーデル,385.0,,,1.0,曇,--,7.6
2014-3-11,89,火,0,肉じゃが,397.0,,,,快晴,--,8.7
2014-3-12,68,水,0,ビーフカレー,370.0,,,,快晴,--,14.8
2014-3-13,80,木,1,手作りロースカツ,372.0,,,,雨,0.5,15.2
2014-3-14,70,金,1,カレイ野菜あんかけ,360.0,,ママの会,,曇,--,11.5
2014-3-17,129,月,0,鶏の唐揚げおろしソース,382.0,,,,快晴,--,14.0
2014-3-18,90,火,1,チーズ入りハンバーグ,400.0,,,,晴れ,--,18.9
2014-3-19,72,水,1,越冬キャベツのメンチカツ,392.0,,,,曇,--,12.6
2014-3-20,100,木,1,鶏の親子煮,372.0,,キャリアアップ支援セミナー,,雨,0.5,7.5
2014-3-24,102,月,0,マーボ豆腐,350.0,,,,快晴,--,17.4
2014-3-25,77,火,0,手作りひれかつ,407.0,,,,快晴,--,18.9
2014-3-26,51,水,0,肉団子クリームシチュー,392.0,,,,曇,--,18.7
2014-3-27,55,木,1,ロース甘味噌焼き,315.0,,,,曇,1.5,12.4
2014-3-28,106,金,0,キーマカレー,,お楽しみメニュー,,,快晴,--,18.5
2014-3-31,84,月,0,青椒肉絲,349.0,,,,晴れ,--,17.5
2014-4-1,125,火,1,メンチカツ,377.0,,,,薄曇,--,16.1
2014-4-2,99,水,0,肉じゃが,380.0,,,,薄曇,--,18.2
2014-4-3,100,木,1,酢豚,390.0,,,,雨,1,14.3
2014-4-4,90,金,1,和風ソースハンバーグ,350.0,,,,晴れ,--,17.8
2014-4-7,107,月,0,青梗菜牛肉炒め,387.0,,,,快晴,--,13.8
2014-4-8,96,火,1,肉団子のシチュー,353.0,,,,快晴,--,20.1
2014-4-9,88,水,1,青椒肉絲,376.0,,,,晴れ,--,19.0
2014-4-10,87,木,0,鶏の唐揚げおろしソース,362.0,,,1.0,晴れ,--,21.3
2014-4-11,128,金,1,チキンカレー,,お楽しみメニュー,,,快晴,--,16.5
2014-4-14,92,月,0,ビーフトマト煮,340.0,,,,晴れ,--,16.4
2014-4-15,82,火,0,ポーク生姜焼き,370.0,,,,快晴,--,19.7
2014-4-16,57,水,0,カレイ唐揚げ野菜あんかけ,330.0,,,,薄曇,--,21.5
2014-4-17,57,木,0,牛丼風煮,333.0,,,,快晴,--,20.1
2014-4-18,56,金,1,鶏の味噌漬け焼き,325.0,,ママの会,,曇,0,11.4
2014-4-21,109,月,0,牛肉筍煮,375.0,,キャリアアップ支援セミナー,,曇,--,16.4
2014-4-22,78,火,1,マーボ豆腐,382.0,,,,曇,--,18.8
2014-4-23,63,水,0,手作りひれかつ,340.0,,,,快晴,--,19.4
2014-4-24,56,木,1,鶏の照り焼きマヨ,360.0,,,,晴れ,--,19.9
2014-4-25,80,金,0,中華丼,,お楽しみメニュー,,,晴れ,--,20.8
2014-4-28,54,月,0,タンドリーチキン,342.0,,,,晴れ,--,22.7
2014-4-30,97,水,1,豚味噌メンチカツ,368.0,,,,雨,0.5,17.5
2014-5-1,64,木,0,マーボ茄子,415.0,,,,晴れ,--,24.0
2014-5-2,47,金,0,鶏の天ぷら,420.0,,,,晴れ,--,23.3
2014-5-7,88,水,1,肉じゃが,415.0,,,,晴れ,--,18.9
2014-5-8,59,木,0,メンチカツ,405.0,,,,薄曇,--,21.0
2014-5-9,58,金,1,手作りチキンカツ,434.0,,,1.0,晴れ,--,23.4
2014-5-12,73,月,0,きのこソースハンバーグ,400.0,,,,薄曇,--,22.7
2014-5-13,70,火,1,白身魚唐揚げ野菜餡かけ,428.0,,,,雨,0,18.6
2014-5-14,64,水,1,メンチカツ,430.0,,,,薄曇,--,26.0
2014-5-15,58,木,1,タンドリーチキン,403.0,,,,曇,--,19.3
2014-5-16,126,金,0,ポークカレー,,お楽しみメニュー,ママの会,,快晴,--,23.8
2014-5-19,70,月,1,豚肉と茄子のピリ辛炒め,406.0,,キャリアアップ支援セミナー,,曇,--,22.8
2014-5-20,71,火,0,鶏の味噌漬け焼き,425.0,,,,薄曇,--,23.9
2014-5-21,104,水,1,チーズハンバーグ,430.0,,,,雨,6,17.4
2014-5-22,54,木,1,サーモンのムニエル2色ソース,428.0,料理長のこだわりメニュー,,,雷電,0,19.0
2014-5-23,65,金,0,牛肉コロッケ,400.0,,,,薄曇,--,19.8
2014-5-26,77,月,1,鶏のカッシュナッツ炒め,430.0,,,,薄曇,--,23.9
2014-5-27,79,火,0,牛肉すき焼き風,423.0,,,,曇,--,23.7
2014-5-28,74,水,1,鶏の唐揚げおろしソース,414.0,,,,晴れ,--,25.7
2014-5-29,64,木,1,いか天ぷら,438.0,,,,快晴,--,26.0
2014-5-30,119,金,0,チキンカレー,,お楽しみメニュー,,,薄曇,--,26.9
2014-6-2,74,月,0,ハンバーグケッチャップソース,420.0,,,,薄曇,--,30.6
2014-6-3,59,火,0,ゴーヤチャンプルー,418.0,,,,薄曇,--,27.0
2014-6-4,47,水,0,たっぷりベーコンフライ,424.0,,,,晴れ,--,27.5
2014-6-5,64,木,1,鶏の味噌漬け焼き,405.0,,,,雨,0,21.5
2014-6-6,93,金,0,手作りロースカツ,430.0,,,,雨,6.5,19.9
2014-6-9,74,月,1,牛肉ニンニクの芽炒め,417.0,,,,雨,0,25.0
2014-6-10,56,火,0,カレイ唐揚げ野菜餡かけ,426.0,,,1.0,曇,--,25.5
2014-6-11,50,水,1,チャプチェ,413.0,,,,雨,2.5,22.3
2014-6-12,72,木,1,タンドリーチキン,440.0,,,,雨,0.5,21.3
2014-6-13,121,金,0,キーマカレー,,お楽しみメニュー,,,晴れ,--,29.5
2014-6-16,76,月,1,牛すき焼き風,440.0,,,,薄曇,--,28.1
2014-6-17,63,火,0,ポークソテー韓国ソース,427.0,,,,薄曇,--,27.6
2014-6-18,66,水,1,ビーフストロガノフ,426.0,料理長のこだわりメニュー,,,雨,0,21.9
2014-6-19,56,木,0,アジ唐揚げ南蛮ソース,430.0,,,,晴れ,--,27.5
2014-6-20,57,金,0,炊き込みご飯,407.0,,,,薄曇,--,26.5
2014-6-23,72,月,0,マーボ茄子,421.0,,,,曇,--,26.9
2014-6-24,61,火,0,鶏のトマトシチュー,430.0,,,,曇,0,23.7
2014-6-25,64,水,1,豚の冷しゃぶ,420.0,,,,雨,0,25.2
2014-6-26,49,木,0,キスと野菜の天ぷら,414.0,,,,曇,--,25.2
2014-6-27,74,金,0,牛丼,,お楽しみメニュー,,,雨,0,25.4
2014-6-30,65,月,0,鶏の塩から揚げ,435.0,,,,薄曇,--,25.5
2014-7-1,54,火,0,カレイ唐揚げ夏野菜あん,362.0,,,,曇,--,28.3
2014-7-2,50,水,1,タンドリーチキン,363.0,,,,快晴,--,28.8
2014-7-3,53,木,0,白身魚ムニエル,412.0,,,,薄曇,--,27.0
2014-7-4,63,金,0,手作りトンカツ,432.0,,,,雨,0.5,22.1
2014-7-7,82,月,1,和風ハンバーグ,354.0,,,,雨,0.5,24.0
2014-7-8,56,火,0,かじきの甘辛煮,370.0,,,,晴れ,--,29.7
2014-7-9,54,水,1,チキンのコーンクリーム焼き,388.0,料理長のこだわりメニュー,,,雨,0,24.6
2014-7-10,48,木,0,プルコギ,386.0,,,1.0,曇,--,28.8
2014-7-11,124,金,0,ポークカレー,,お楽しみメニュー,,,晴れ,--,33.9
2014-7-14,65,月,1,鶏のから揚げねぎ塩炒めソース,418.0,,,,薄曇,0,30.9
2014-7-15,51,火,0,豚冷シャブ野菜添え,324.0,,,,晴れ,--,30.3
2014-7-16,53,水,1,白身魚フライ,434.0,,,,晴れ,--,30.9
2014-7-17,53,木,1,豚すき焼き,418.0,,ママの会,,晴れ,--,30.1
2014-7-18,55,金,1,エビフライ,401.0,,,,曇,--,25.6
2014-7-22,53,火,0,チンジャオロース,409.0,,,,晴れ,--,30.2
2014-7-23,56,水,1,八宝菜,355.0,,,,薄曇,--,32.0
2014-7-24,62,木,1,ジャンボチキンカツ,410.0,,,,曇,--,32.5
2014-7-25,83,金,0,ひやしたぬきうどん・炊き込みご飯,,お楽しみメニュー,,,晴れ,--,33.6
2014-7-28,65,月,1,豚肉のマスタード焼き,432.0,,,,晴れ,--,28.9
2014-7-29,52,火,0,バーベキューチキン,449.0,,,,晴れ,--,30.4
2014-7-30,58,水,0,メンチカツ,441.0,,,,晴れ,--,30.6
2014-7-31,60,木,0,鶏のから揚げスイートチリソース,386.0,,,,晴れ,--,32.5
2014-8-1,38,金,0,豚肉の生姜焼き,380.0,,,,薄曇,--,32.7
2014-8-4,75,月,1,ハンバーグ（デミきのこバター）,410.0,,,,曇,--,32.7
2014-8-5,54,火,1,鶏肉のカレー唐揚,400.0,,,,快晴,--,34.3
2014-8-6,58,水,1,豚キムチ炒め,410.0,,,,快晴,--,34.6
2014-8-7,63,木,0,チキン香草焼きマスタードソース,415.0,,,,晴れ,--,32.1
2014-8-8,129,金,0,チキンカレー,,お楽しみメニュー,,1.0,曇,--,31.1
2014-8-11,45,月,0,サーモンフライ・タルタル,411.0,,,,晴れ,--,32.4
2014-8-12,40,火,1,厚切ハムカツ,400.0,,,,雨,0,29.4
2014-8-18,56,月,0,洋食屋さんのメンチカツ,396.0,,,,曇,--,32.2
2014-8-19,53,火,1,牛スキヤキ,385.0,,,,晴れ,--,33.3
2014-8-20,56,水,0,豚ロースのピザ風チーズ焼き,423.0,料理長のこだわりメニュー,ママの会,,快晴,--,33.3
2014-8-21,54,木,0,チキン南蛮,405.0,,キャリアアップ支援セミナー,,薄曇,--,33.0
2014-8-22,100,金,1,ロコモコ丼,,お楽しみメニュー,,,晴れ,--,33.1
2014-8-25,55,月,0,白身魚の南部焼き,412.0,,,,曇,0,26.0
2014-8-26,68,火,0,キーマカレー,400.0,,,,雨,0,26.2
2014-8-27,62,水,0,カレイの唐揚げ,410.0,,,,曇,0,21.0
2014-8-28,56,木,0,豚肉の胡麻シャブ,396.0,,,,雨,0,21.6
2014-8-29,39,金,0,チキンの辛味噌焼き,398.0,,,,曇,0,25.1
2014-9-1,65,月,1,ビーフシチュー,380.0,,,,曇,--,23.4
2014-9-2,68,火,1,名古屋味噌カツ,440.0,手作りの味,,,晴れ,--,29.1
2014-9-3,53,水,0,親子煮,408.0,,,,曇,--,26.7
2014-9-4,54,木,1,チキンステーキ・きのこソース,405.0,,,,曇,0,26.5
2014-9-5,43,金,0,メンチカツ,380.0,,,,晴れ,--,30.2
2014-9-8,68,月,1,鶏肉の山賊焼き,385.0,,,,曇,--,23.1
2014-9-9,63,火,0,ハンバーグデミソース,460.0,,,,晴れ,--,26.8
2014-9-10,54,水,0,ぶりレモンペッパー焼き,450.0,,,1.0,曇,0,25.0
2014-9-11,53,木,0,手作りチキンカツ,385.0,,,,曇,--,21.9
2014-9-12,115,金,0,ポークカレー,,お楽しみメニュー,,,晴れ,--,27.3
2014-9-16,56,火,0,チーズメンチカツ,438.0,,,,晴れ,--,28.8
2014-9-17,49,水,0,チキンフリカッセ,430.0,料理長のこだわりメニュー,ママの会,,曇,--,25.0
2014-9-18,46,木,0,カレイ唐揚げ 甘酢あん,395.0,,,,曇,--,24.1
2014-9-19,45,金,0,厚切イカフライ,400.0,,,,薄曇,--,23.6
2014-9-22,29,月,0,筑前煮,395.0,,,,晴れ,--,25.2
2014-9-24,59,水,1,白身魚のマスタード焼き,408.0,,,,曇,0,24.8
2014-9-25,50,木,0,牛カルビ焼き肉,394.0,,,,曇,0,25.4
2014-9-26,45,金,0,ランチビュッフェ,,スペシャルメニュー（800円）,キャリアアップ支援セミナー,,晴れ,--,27.1
2014-9-29,56,月,1,豚肉と玉子の炒め,404.0,,,,快晴,--,26.6
2014-9-30,40,火,0,鶏肉とカシューナッツ炒め,398.0,,,,快晴,--,28.1
